// Compost colors for betterfishtanks. You may add your own colors, change existing ones, or remove colors that aren't needed.
common_fish_egg, #aa792f
structure_cave_tuff_lapis_block, #87919e
structure_cave_tuff_redstone_block, #9d847a
tiny_branch_acacia_log, #938a7c
tiny_branch_bamboo_block, #b2ca51
tiny_branch_birch_log, #ffffff
tiny_branch_cherry_log, #4d2f3e
tiny_branch_dark_oak_log, #554325
tiny_branch_jungle_log, #765f22
tiny_branch_mangrove_log, #7a623c
tiny_branch_oak_log, #9d7947
tiny_branch_spruce_log, #543618
tiny_branch_stripped_acacia_log, #ff8657
tiny_branch_stripped_bamboo_block, #fff470
tiny_branch_stripped_birch_log, #ffffb1
tiny_branch_stripped_cherry_log, #ffd3da
tiny_branch_stripped_dark_oak_log, #6b5233
tiny_branch_stripped_jungle_log, #f7c07a
tiny_branch_stripped_mangrove_log, #ab5143
tiny_branch_stripped_oak_log, #ffd680
tiny_branch_stripped_spruce_log, #ae834d
tiny_stone_andesite, #c0c0bf
tiny_stone_calcite, #ffffff
tiny_stone_deepslate, #767679
tiny_stone_diorite, #ffffff
tiny_stone_dripstone_block, #b8907d
tiny_stone_granite, #d79379
tiny_stone_stone, #b5b5b5
tiny_stone_tuff, #9b9d91
tower_mossy_stone_bricks, #a2aa96
tower_stone_bricks, #a7a7a7
uncommon_fish_egg, #57fc5b
